Temperature,Year,Month,Country,ISO3
-0.0378, 1901, Jan, Afghanistan, AFG
2.42348, 1901, Feb, Afghanistan, AFG
9.3623, 1901, Mar, Afghanistan, AFG
13.5564, 1901, Apr, Afghanistan, AFG
18.1509, 1901, May, Afghanistan, AFG
22.1727, 1901, Jun, Afghanistan, AFG
25.3787, 1901, Jul, Afghanistan, AFG
23.6652, 1901, Aug, Afghanistan, AFG
19.4655, 1901, Sep, Afghanistan, AFG
11.2837, 1901, Oct, Afghanistan, AFG
8.6319, 1901, Nov, Afghanistan, AFG
4.02148, 1901, Dec, Afghanistan, AFG
2.43386, 1902, Jan, Afghanistan, AFG
2.32874, 1902, Feb, Afghanistan, AFG
7.61617, 1902, Mar, Afghanistan, AFG
12.3997, 1902, Apr, Afghanistan, AFG
19.4873, 1902, May, Afghanistan, AFG
24.1452, 1902, Jun, Afghanistan, AFG
25.0482, 1902, Jul, Afghanistan, AFG
24.2475, 1902, Aug, Afghanistan, AFG
19.0351, 1902, Sep, Afghanistan, AFG
12.9641, 1902, Oct, Afghanistan, AFG
7.19137, 1902, Nov, Afghanistan, AFG
3.21455, 1902, Dec, Afghanistan, AFG
-1.588, 1903, Jan, Afghanistan, AFG
2.6049, 1903, Feb, Afghanistan, AFG
2.19759, 1903, Mar, Afghanistan, AFG
10.9805, 1903, Apr, Afghanistan, AFG
17.0656, 1903, May, Afghanistan, AFG
23.4819, 1903, Jun, Afghanistan, AFG
24.7819, 1903, Jul, Afghanistan, AFG
23.887, 1903, Aug, Afghanistan, AFG
19.8621, 1903, Sep, Afghanistan, AFG
14.1072, 1903, Oct, Afghanistan, AFG
5.79271, 1903, Nov, Afghanistan, AFG
0.90361, 1903, Dec, Afghanistan, AFG
-5.5545, 1904, Jan, Afghanistan, AFG
4.27782, 1904, Feb, Afghanistan, AFG
7.50411, 1904, Mar, Afghanistan, AFG
11.7398, 1904, Apr, Afghanistan, AFG
17.9897, 1904, May, Afghanistan, AFG
22.8683, 1904, Jun, Afghanistan, AFG
25.0061, 1904, Jul, Afghanistan, AFG
23.9715, 1904, Aug, Afghanistan, AFG
18.7715, 1904, Sep, Afghanistan, AFG
11.0836, 1904, Oct, Afghanistan, AFG
8.79818, 1904, Nov, Afghanistan, AFG
3.92464, 1904, Dec, Afghanistan, AFG
-1.8435, 1905, Jan, Afghanistan, AFG
-1.7698, 1905, Feb, Afghanistan, AFG
3.42272, 1905, Mar, Afghanistan, AFG
12.8392, 1905, Apr, Afghanistan, AFG
18.7107, 1905, May, Afghanistan, AFG
23.5721, 1905, Jun, Afghanistan, AFG
25.1425, 1905, Jul, Afghanistan, AFG
23.8485, 1905, Aug, Afghanistan, AFG
19.0231, 1905, Sep, Afghanistan, AFG
14.7307, 1905, Oct, Afghanistan, AFG
7.64407, 1905, Nov, Afghanistan, AFG
1.88543, 1905, Dec, Afghanistan, AFG
-1.0413, 1906, Jan, Afghanistan, AFG
0.54912, 1906, Feb, Afghanistan, AFG
6.80418, 1906, Mar, Afghanistan, AFG
10.6162, 1906, Apr, Afghanistan, AFG
18.6138, 1906, May, Afghanistan, AFG
23.676, 1906, Jun, Afghanistan, AFG
24.8869, 1906, Jul, Afghanistan, AFG
24.9104, 1906, Aug, Afghanistan, AFG
18.7982, 1906, Sep, Afghanistan, AFG
14.2315, 1906, Oct, Afghanistan, AFG
7.80828, 1906, Nov, Afghanistan, AFG
4.07322, 1906, Dec, Afghanistan, AFG
0.95404, 1907, Jan, Afghanistan, AFG
0.54133, 1907, Feb, Afghanistan, AFG
6.55103, 1907, Mar, Afghanistan, AFG
13.4165, 1907, Apr, Afghanistan, AFG
16.2032, 1907, May, Afghanistan, AFG
21.2821, 1907, Jun, Afghanistan, AFG
25.2362, 1907, Jul, Afghanistan, AFG
23.3621, 1907, Aug, Afghanistan, AFG
18.7366, 1907, Sep, Afghanistan, AFG
10.957, 1907, Oct, Afghanistan, AFG
5.72489, 1907, Nov, Afghanistan, AFG
2.58663, 1907, Dec, Afghanistan, AFG
0.89113, 1908, Jan, Afghanistan, AFG
1.72961, 1908, Feb, Afghanistan, AFG
5.89961, 1908, Mar, Afghanistan, AFG
12.6312, 1908, Apr, Afghanistan, AFG
17.0839, 1908, May, Afghanistan, AFG
23.1196, 1908, Jun, Afghanistan, AFG
25.6291, 1908, Jul, Afghanistan, AFG
23.5242, 1908, Aug, Afghanistan, AFG
18.6603, 1908, Sep, Afghanistan, AFG
11.1287, 1908, Oct, Afghanistan, AFG
7.77281, 1908, Nov, Afghanistan, AFG
2.14394, 1908, Dec, Afghanistan, AFG
-1.9607, 1909, Jan, Afghanistan, AFG
1.97504, 1909, Feb, Afghanistan, AFG
8.01813, 1909, Mar, Afghanistan, AFG
14.3704, 1909, Apr, Afghanistan, AFG
17.9139, 1909, May, Afghanistan, AFG
23.0186, 1909, Jun, Afghanistan, AFG
24.5037, 1909, Jul, Afghanistan, AFG
24.1599, 1909, Aug, Afghanistan, AFG
18.4832, 1909, Sep, Afghanistan, AFG
12.4297, 1909, Oct, Afghanistan, AFG
10.0068, 1909, Nov, Afghanistan, AFG
3.5712, 1909, Dec, Afghanistan, AFG
1.04241, 1910, Jan, Afghanistan, AFG
2.96156, 1910, Feb, Afghanistan, AFG
5.65151, 1910, Mar, Afghanistan, AFG
11.7662, 1910, Apr, Afghanistan, AFG
19.1984, 1910, May, Afghanistan, AFG
22.6802, 1910, Jun, Afghanistan, AFG
25.3766, 1910, Jul, Afghanistan, AFG
23.9357, 1910, Aug, Afghanistan, AFG
18.6236, 1910, Sep, Afghanistan, AFG
12.7016, 1910, Oct, Afghanistan, AFG
6.12208, 1910, Nov, Afghanistan, AFG
-1.6246, 1910, Dec, Afghanistan, AFG
-1.4419, 1911, Jan, Afghanistan, AFG
2.69836, 1911, Feb, Afghanistan, AFG
